City,Deal Name,Discount,Applicable Cards
islamabad,Qatar Airways,UP TO 12% off,"HBL Platinum CreditCard, + 7 More Cards, HBL World Elite DebitCard"
islamabad,Khas Stores,15% off,"HBL Platinum CreditCard, + 6 More Cards, HBL World DebitCard"
islamabad,Khas Stores,15% off,HBL Konnect Debit Card
islamabad,Chashni,30% off,HBL World Elite DebitCard
islamabad,Chashni,25% off,HBL Platinum CreditCard
islamabad,Shell,Up to 10% off,"HBL Platinum CreditCard, + 7 More Cards, HBL World Elite DebitCard"
islamabad,Emirates,10% off,"HBL Platinum CreditCard, + 7 More Cards, HBL World Elite DebitCard"
islamabad,Legend Hotels Islamabad,20% off,"HBL Platinum CreditCard, + 7 More Cards, HBL World Elite DebitCard"
islamabad,Master Management CIP Lounge,Free Visit for Card Holder,"HBL Platinum CreditCard, + 4 More Cards, HBL World Elite DebitCard"
islamabad,Adidas,20% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
islamabad,Hush Puppies,15% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
islamabad,Hush Puppies,10% off,"HBL Gold DebitCard, + 4 More Cards, HBL Gold CreditCard"
islamabad,Fuoco,25% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
islamabad,Loafology Bakery & Cafe,25% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
islamabad,flydubai,UP TO 15% off,"HBL Platinum CreditCard, + 7 More Cards, HBL World Elite DebitCard"
islamabad,Mothercare,20% off,"HBL Platinum CreditCard, + 7 More Cards, HBL World Elite DebitCard"
islamabad,Puma,20% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
islamabad,Taşkonaklar Hotel,Sunrise Breakfast,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
islamabad,Taşkonaklar Hotel,Private Guided Tour,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
islamabad,Taşkonaklar Hotel,Stay at the Taskonaklar Hotel in Cappadocia & Receive a Complimentary Excursion,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
islamabad,Taşkonaklar Hotel,Valley Walk and Picnic,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
islamabad,Taşkonaklar Hotel,Valley Walk and Jam Making,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
islamabad,Taşkonaklar Hotel,Pottery Workshop,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
islamabad,Taşkonaklar Hotel,Book Your Stay at Boutique Hotel Taskonaklar with a Complimentary Experience,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
islamabad,Souk Galleria,10% off,"HBL Platinum CreditCard, + 7 More Cards, HBL World Elite DebitCard"
islamabad,El Momento,15% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
islamabad,El Momento,10% off,"HBL Gold DebitCard, HBL Gold CreditCard, + 2 More Cards"
islamabad,TAG Heuer,20% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
islamabad,TAG Heuer,17% off,HBL Gold CreditCard
islamabad,TAG Heuer,15% off,"HBL Gold DebitCard, HBL Titanium DebitCard"
islamabad,Fun City,25% Additional Credit,"HBL Platinum CreditCard, + 7 More Cards, HBL World Elite DebitCard"
islamabad,Fun City,25% off,HBL Konnect Debit Card
islamabad,Timberland,20% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
islamabad,Juices Island,20% off,"HBL Platinum CreditCard, + 8 More Cards, HBL World Elite DebitCard"
