City,Deal Name,Discount,Applicable Cards
multan,Dhanak,15% off,"HBL Platinum CreditCard, + 7 More Cards, HBL World Elite DebitCard"
multan,Activated Gym,25% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
multan,Activated Gym,20% off,"HBL Gold DebitCard, + 4 More Cards, HBL Gold CreditCard"
multan,7 Spice,15% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
multan,7 Spice,10% off,"HBL Gold DebitCard, + 4 More Cards, HBL Gold CreditCard"
multan,Yin and Yang Restaurant,20% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
multan,Yin and Yang Restaurant,15% off,"HBL Gold DebitCard, + 4 More Cards, HBL Gold CreditCard"
multan,Mirrors Salon and Institute,10% off,"HBL Platinum CreditCard, + 7 More Cards, HBL World Elite DebitCard"
multan,Mirrors Salon and Institute,10% off,HBL Konnect Debit Card
multan,Fareed Book Centre,10% off,"HBL Platinum CreditCard, + 7 More Cards, HBL World Elite DebitCard"
